Дата	Характерный день	Торговый час	Характерный час	График ППП, МВтч	"Объем Торгового графика (скорректированное плановое почасовое потребление) МВт*час"	Объем покупки МВт*час	В т.ч. потери, отнесенные к объему покупки	Фактическое собственное потребление, МВтч	Покупка (+) / Продажа (-) на БР (BR+/-), МВтч	Объем покупки на БР (BR+), МВтч	Объем продажи на БР (BR-), МВтч
06.01.2015	выходной	8	минимум	0,45	0,45	0,464	0,014	0,47	0,022	0,02	 -      
06.01.2015	выходной	9	минимум	0,45	0,45	0,463	0,013	0,44	-0,006	0,00	 0,01    
06.01.2015	выходной	10	минимум	0,45	0,45	0,463	0,013	0,37	-0,084	0,00	 0,08    
06.01.2015	выходной	11	полупик	0,45	0,45	0,463	0,013	0,39	-0,059	0,00	 0,06    
06.01.2015	выходной	12	полупик	0,45	0,45	0,463	0,013	0,39	-0,06	0,00	 0,06    
06.01.2015	выходной	13	полупик	0,45	0,45	0,463	0,013	0,40	-0,05	0,00	 0,05    
06.01.2015	выходной	14	полупик	0,45	0,45	0,463	0,013	0,40	-0,051	0,00	 0,05    
06.01.2015	выходной	15	полупик	0,45	0,45	0,463	0,013	0,39	-0,059	0,00	 0,06    
06.01.2015	выходной	16	полупик	0,45	0,45	0,463	0,013	0,39	-0,063	0,00	 0,06    
06.01.2015	выходной	17	полупик	0,45	0,45	0,463	0,013	0,39	-0,061	0,00	 0,06    
06.01.2015	выходной	18	полупик	0,45	0,45	0,463	0,013	0,39	-0,061	0,00	 0,06    
06.01.2015	выходной	19	полупик	0,45	0,45	0,463	0,013	0,39	-0,062	0,00	 0,06    
06.01.2015	выходной	20	полупик	0,45	0,45	0,463	0,013	0,39	-0,063	0,00	 0,06    
06.01.2015	выходной	21	полупик	0,45	0,45	0,463	0,013	0,39	-0,064	0,00	 0,06    
06.01.2015	выходной	22	полупик	0,45	0,45	0,463	0,013	0,39	-0,06	0,00	 0,06    
06.01.2015	выходной	23	минимум	0,45	0,45	0,463	0,013	0,39	-0,065	0,00	 0,07    
07.01.2015	выходной	0	минимум	0,45	0,45	0,464	0,014	0,39	-0,063	0,00	 0,06    
07.01.2015	выходной	1	минимум	0,45	0,45	0,464	0,014	0,39	-0,06	0,00	 0,06    
07.01.2015	выходной	2	минимум	0,45	0,45	0,464	0,014	0,39	-0,059	0,00	 0,06    
07.01.2015	выходной	3	минимум	0,45	0,45	0,464	0,014	0,40	-0,055	0,00	 0,06    
07.01.2015	выходной	4	минимум	0,45	0,45	0,464	0,014	0,39	-0,056	0,00	 0,06    
07.01.2015	выходной	5	минимум	0,5	0,5	0,516	0,016	0,40	-0,098	0,00	 0,10    
07.01.2015	выходной	6	минимум	0,5	0,5	0,516	0,016	0,41	-0,09	0,00	 0,09    
07.01.2015	выходной	7	минимум	0,5	0,5	0,516	0,016	0,40	-0,098	0,00	 0,10    
07.01.2015	выходной	8	минимум	0,5	0,5	0,515	0,015	0,42	-0,081	0,00	 0,08    
07.01.2015	выходной	9	минимум	0,5	0,5	0,515	0,015	0,39	-0,106	0,00	 0,11    
07.01.2015	выходной	10	минимум	0,5	0,5	0,515	0,015	0,39	-0,112	0,00	 0,11    
07.01.2015	выходной	11	полупик	0,5	0,5	0,515	0,015	0,38	-0,118	0,00	 0,12    
07.01.2015	выходной	12	полупик	0,5	0,5	0,515	0,015	0,38	-0,119	0,00	 0,12    
07.01.2015	выходной	13	полупик	0,5	0,5	0,515	0,015	0,38	-0,117	0,00	 0,12    
07.01.2015	выходной	14	полупик	0,5	0,5	0,515	0,015	0,39	-0,111	0,00	 0,11    
07.01.2015	выходной	15	полупик	0,5	0,5	0,515	0,015	0,40	-0,105	0,00	 0,11    
07.01.2015	выходной	16	полупик	0,5	0,5	0,515	0,015	0,40	-0,104	0,00	 0,10    
07.01.2015	выходной	17	полупик	0,5	0,5	0,515	0,015	0,40	-0,105	0,00	 0,11    
07.01.2015	выходной	18	полупик	0,5	0,5	0,515	0,015	0,39	-0,107	0,00	 0,11    
07.01.2015	выходной	19	полупик	0,5	0,5	0,515	0,015	0,39	-0,106	0,00	 0,11    
07.01.2015	выходной	20	полупик	0,5	0,5	0,515	0,015	0,40	-0,103	0,00	 0,10    
07.01.2015	выходной	21	полупик	0,5	0,5	0,515	0,015	0,40	-0,1	0,00	 0,10    
07.01.2015	выходной	22	полупик	0,5	0,5	0,515	0,015	0,40	-0,104	0,00	 0,10    
07.01.2015	выходной	23	минимум	0,5	0,5	0,515	0,015	0,40	-0,102	0,00	 0,10    
08.01.2015	выходной	0	минимум	0,5	0,5	0,515	0,015	0,40	-0,102	0,00	 0,10    
08.01.2015	выходной	1	минимум	0,5	0,5	0,515	0,015	0,40	-0,1	0,00	 0,10    
08.01.2015	выходной	2	минимум	0,5	0,5	0,515	0,015	0,40	-0,099	0,00	 0,10    
08.01.2015	выходной	3	минимум	0,5	0,5	0,515	0,015	0,40	-0,1	0,00	 0,10    
08.01.2015	выходной	4	минимум	0,5	0,5	0,516	0,016	0,40	-0,1	0,00	 0,10    
08.01.2015	выходной	5	минимум	0,5	0,5	0,516	0,016	0,41	-0,093	0,00	 0,09    
08.01.2015	выходной	6	минимум	0,5	0,5	0,516	0,016	0,48	-0,024	0,00	 0,02    
08.01.2015	выходной	7	минимум	0,5	0,5	0,516	0,016	0,49	-0,006	0,00	 0,01    
